etab_identifiant_de_l_etablissement;etab_nom_etablissement;etab_adresse_1;etab_adresse_2;etab_adresse_3;etab_code_postal;etab_nom_commune;etab_libelle_departement;etab_libelle_academie;etab_fiche_onisep;etab_type_etablissement;etab_statut_public_prive;etab_libelle_nature;etab_telephone;etab_mail;etab_web;etab_latitude;etab_longitude;course_code;course_univers;course_niveau;course_formTypeSigle;course_formTypeLib;course_formLib;course_formSigle;course_rncp;course_codeSco;course_urlOnisep;course_color
0941978P;Section d'enseignement professionnel du lycée Christophe Colomb;154 rue de Boissy;;;94370;Sucy-en-Brie;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11195;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 49 82 29 29;ce.0941918Z@ac-creteil.fr;;48.759563451086045;2.5261158036914377;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0920680P;Lycée professionnel Léonard de Vinci;5 avenue Henri Barbusse;;;92220;Bagneux;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9291;Lycée;Public;LYCEE PROFESSIONNEL;01 40 92 79 80;0920680P@ac-versailles.fr;http://www.lyc-vinci-bagneux.ac-versailles.fr;48.798126642479446;2.308221346268783;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0754887E;Section d'enseignement professionnel du lycée Louis Armand;321 rue Lecourbe;;;75015;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7142;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 45 57 51 50;secretariat.louisarmand@gmail.com;http://lyc-louis-armand.ac-paris.fr;48.8372023151473;2.2852784745012107;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0783431F;Lycée polyvalent Jules Verne;2 rue de la Constituante;CS 80238;;78500;Sartrouville;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2618;Lycée;Public;LYCEE POLYVALENT;01 61 04 13 00;ce.0783431f@ac-versailles.fr;http://www.lyc-verne-sartrouville.ac-versailles.fr;48.94279676396546;2.1602500827567113;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0783431F;Lycée polyvalent Jules Verne;2 rue de la Constituante;CS 80238;;78500;Sartrouville;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2618;Lycée;Public;LYCEE POLYVALENT;01 61 04 13 00;ce.0783431f@ac-versailles.fr;http://www.lyc-verne-sartrouville.ac-versailles.fr;48.94279676396546;2.1602500827567113;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0951104J;Lycée polyvalent Jean Perrin;2 rue des Egalisses;;;95310;Saint-Ouen-l'Aumône;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7519;Lycée;Public;LYCEE POLYVALENT;01 34 32 58 28;0951104J@ac-versailles.fr;http://lyc-perrin-soa.ac-versailles.fr/portail/;49.05795045401262;2.1301623470731075;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0951104J;Lycée polyvalent Jean Perrin;2 rue des Egalisses;;;95310;Saint-Ouen-l'Aumône;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7519;Lycée;Public;LYCEE POLYVALENT;01 34 32 58 28;0951104J@ac-versailles.fr;http://lyc-perrin-soa.ac-versailles.fr/portail/;49.05795045401262;2.1301623470731075;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0950947N;Lycée de la Tourelle;8 rue Fernand Léger;;;95200;Sarcelles;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3404;Lycée;Public;LYCEE POLYVALENT;01 34 38 36 00;0950947n@ac-versailles.fr;http://www.lyc-tourelle-sarcelles.ac-versailles.fr;48.992936087911005;2.3828807780713577;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0950947N;Lycée de la Tourelle;8 rue Fernand Léger;;;95200;Sarcelles;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3404;Lycée;Public;LYCEE POLYVALENT;01 34 38 36 00;0950947n@ac-versailles.fr;http://www.lyc-tourelle-sarcelles.ac-versailles.fr;48.992936087911005;2.3828807780713577;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0940141T;Lycée professionnel Jacques Brel;100 avenue d'Alfortville;;;94600;Choisy-le-Roi;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7853;Lycée;Public;LYCEE POLYVALENT;01 48 92 99 40;ce.0940141t@ac-creteil.fr;http://www.jbrel94.fr;48.77325875116557;2.4149129113760606;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0754920R;Section d'enseignement professionnel du lycée privé Catherine Labouré;29 rue Gassendi;;;75014;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17979;Lycée;Privé;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 43 22 02 62;catherine.laboure@wanadoo.fr;http://www.saintecatherinelaboure.com/;48.83401622120104;2.326252530262704;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0754920R;Section d'enseignement professionnel du lycée privé Catherine Labouré;29 rue Gassendi;;;75014;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17979;Lycée;Privé;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 43 22 02 62;catherine.laboure@wanadoo.fr;http://www.saintecatherinelaboure.com/;48.83401622120104;2.326252530262704;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0941355M;Lycée professionnel Paul Bert;1 rue du gué aux aurochs;;;94700;Maisons-Alfort;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9118;Lycée;Public;LYCEE POLYVALENT;01 41 79 02 50;ce.0941355m@ac-creteil.fr;http://www.paulbert.net;48.81499680233944;2.4243206489988234;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0940750E;Section d'enseignement professionnel du lycée François Arago;36 avenue de l'Europe;;;94190;Villeneuve-Saint-Georges;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7444;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 45 10 87 00;ce.0941952L@ac-creteil.fr;http://www.lycee-arago.fr;48.730784017182465;2.4579412438695334;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0920136Y;Lycée Isaac Newton;1 place Jules Verne;;;92110;Clichy;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9297;Lycée;Public;LYCEE POLYVALENT;01 41 06 78 78;lyc-newton-clichy@ac-versailles.fr;http://www.lycee-newton.fr;48.90905297767566;2.3068998920632153;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0920136Y;Lycée Isaac Newton;1 place Jules Verne;;;92110;Clichy;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9297;Lycée;Public;LYCEE POLYVALENT;01 41 06 78 78;lyc-newton-clichy@ac-versailles.fr;http://www.lycee-newton.fr;48.90905297767566;2.3068998920632153;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0753350J;LP Maria Deraismes;19 rue Maria-Deraismes;;;75017;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7015;Lycée;Public;LYCEE PROFESSIONNEL;01 46 27 94 37;ce.0753350j@ac-paris.fr;http://lyc-maria-deraismes.ac-paris.fr;48.89481837327271;2.327529350037259;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0770931U;Lycée professionnel Pierre de Coubertin;Chaussée de Paris;;;77100;Meaux;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12830;Lycée;Public;LYCEE POLYVALENT;01 64 34 57 27;ce.0770932v@ac-creteil.fr;https://www.coubertin-meaux.fr;48.955102129539654;2.8671973622331977;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0781856U;Lycée professionnel Saint-Erembert;5 rue Salomon Reinach;;;78100;Saint-Germain-en-Laye;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7202;Lycée;Privé;LYCEE PROFESSIONNEL;01 39 21 58 58;etablissement@saint-erembert.com;https://www.saint-erembert.fr;48.89599108673565;2.099642839310491;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0940140S;Lycée professionnel Gourdou Leseurre;50-56 boulevard de Champigny;;;94210;Saint-Maur-des-Fossés;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16177;Lycée;Public;LYCEE PROFESSIONNEL;01 48 83 33 32;ce.0940140S@ac-creteil.fr;http://www.lyceegourdouleseurre.com;48.80209659868827;2.5067094253197815;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0931432B;Section d'enseignement professionnel du lycée polyvalent Eugène Delacroix;4 du Docteur Albert Schweitzer;;;93700;Drancy;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14430;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 41 60 83 15;admin@lycee-delacroix-drancy.fr;https://lyc-eugene-delacroix-drancy.ac-creteil.fr/lycee/;48.92500721472923;2.457936453412501;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0771364P;Section d'enseignement professionnel du lycée polyvalent Frédéric Joliot-Curie;168 rue Frédéric Joliot-Curie;;;77190;Dammarie-les-Lys;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10687;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 64 39 34 34;ce.0771027y@ac-creteil.fr;http://www.lyceejoliotcurie77.fr;48.519074047945075;2.648301348133944;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0930128J;Lycée professionnel Denis Papin;34 avenue Michelet;;;93120;La Courneuve;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9719;Lycée;Public;LYCEE PROFESSIONNEL;01 49 92 16 00;ce.0930128J@ac-creteil.fr;http://www.lycee-denis-papin-la-courneuve.com;48.92887989557298;2.3863947991490666;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0941918Z;Lycée Christophe Colomb;154 rue de Boissy;;;94370;Sucy-en-Brie;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13811;Lycée;Public;LYCEE POLYVALENT;01 49 82 29 29;ce.0941918Z@ac-creteil.fr;http://www.lycee-christophecolomb94.com;48.759563451086045;2.5261158036914377;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0941918Z;Lycée Christophe Colomb;154 rue de Boissy;;;94370;Sucy-en-Brie;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13811;Lycée;Public;LYCEE POLYVALENT;01 49 82 29 29;ce.0941918Z@ac-creteil.fr;http://www.lycee-christophecolomb94.com;48.759563451086045;2.5261158036914377;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0931198X;Lycée professionnel Alfred Costes;146 avenue Henri Barbusse;;;93000;Bobigny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4354;Lycée;Public;LYCEE PROFESSIONNEL;01 48 96 24 24;ce.0931198X@ac-creteil.fr;http://lycee-alfredcostes.fr;48.90870421236245;2.428207966993259;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0930929E;Lycée professionnel privé Jeanne la Lorraine;3 boulevard du Nord;;;93340;Le Raincy;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12761;Lycée;Privé;LYCEE PROFESSIONNEL;01 43 81 83 78;ce.0930929E@ac-creteil.fr;http://www.jeannelalorraine93.com;48.90166706339659;2.5134757813211515;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0911037H;Lycée des Métiers André-Marie Ampère;12 bis route du Bois Pommier;;;91390;Morsang-sur-Orge;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14770;Lycée;Public;LYCEE PROFESSIONNEL;01 69 04 04 34;0911037H@ac-versailles.fr;http://www.lyc-ampere-morsang.ac-versailles.fr;48.657926614138525;2.3455129989799697;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0951282C;Lycée professionnel régional du Vexin;2 rue Jean Hamon;;;95750;Chars;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10140;Lycée;Public;LYCEE PROFESSIONNEL;01 30 39 78 94;0951282c@ac-versailles.fr;http://www.lyc-vexin-chars.ac-versailles.fr;49.15689275100273;1.9434127036352702;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0951282C;Lycée professionnel régional du Vexin;2 rue Jean Hamon;;;95750;Chars;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10140;Lycée;Public;LYCEE PROFESSIONNEL;01 30 39 78 94;0951282c@ac-versailles.fr;http://www.lyc-vexin-chars.ac-versailles.fr;49.15689275100273;1.9434127036352702;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0931573E;Lycée professionnel privé Robert Schuman;5 avenue du Général de Gaulle;;;93440;Dugny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11671;Lycée;Privé;LYCEE PROFESSIONNEL;01 48 37 74 26;administration@lyceerobertschuman.com;http://www.lyceerobertschuman.com;48.9489464222051;2.41462548035602;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0940580V;Lycée de Cachan;63 avenue du Président Wilson;;;94235;Cachan;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11853;Lycée;Public;LYCEE POLYVALENT;01 47 40 49 60;ce.0940580V@ac-creteil.fr;http://lyceedecachan.fr/;48.78867682535173;2.324774506773462;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0940580V;Lycée de Cachan;63 avenue du Président Wilson;;;94235;Cachan;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11853;Lycée;Public;LYCEE POLYVALENT;01 47 40 49 60;ce.0940580V@ac-creteil.fr;http://lyceedecachan.fr/;48.78867682535173;2.324774506773462;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0940580V;Lycée de Cachan;63 avenue du Président Wilson;;;94235;Cachan;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11853;Lycée;Public;LYCEE POLYVALENT;01 47 40 49 60;ce.0940580V@ac-creteil.fr;http://lyceedecachan.fr/;48.78867682535173;2.324774506773462;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0940580V;Lycée de Cachan;63 avenue du Président Wilson;;;94235;Cachan;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11853;Lycée;Public;LYCEE POLYVALENT;01 47 40 49 60;ce.0940580V@ac-creteil.fr;http://lyceedecachan.fr/;48.78867682535173;2.324774506773462;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0770920G;Lycée La Fayette;847 route de Fontaineroux;BP 10;;77850;Héricy;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11670;Lycée;Public;LYCEE POLYVALENT;01 60 39 50 00;lafayette.champagne@ac-creteil.fr;http://www.lyceelafayette.fr;48.40330437773726;2.7976540778951264;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0770920G;Lycée La Fayette;847 route de Fontaineroux;BP 10;;77850;Héricy;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11670;Lycée;Public;LYCEE POLYVALENT;01 60 39 50 00;lafayette.champagne@ac-creteil.fr;http://www.lyceelafayette.fr;48.40330437773726;2.7976540778951264;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0770920G;Lycée La Fayette;847 route de Fontaineroux;BP 10;;77850;Héricy;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11670;Lycée;Public;LYCEE POLYVALENT;01 60 39 50 00;lafayette.champagne@ac-creteil.fr;http://www.lyceelafayette.fr;48.40330437773726;2.7976540778951264;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0771171E;Lycée professionnel Louis Lumière;4 rue Louis Lumière;BP 80;;77504;Chelles;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1769;Lycée;Public;LYCEE PROFESSIONNEL;01 60 93 12 10;ce.0771171e@ac-creteil.fr;http://www.lyceelouislumiere.fr;48.8795999213396;2.612279937835049;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0930130L;Lycée professionnel Condorcet;31 rue Desiré Chevalier;;;93100;Montreuil;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1055;Lycée;Public;LYCEE PROFESSIONNEL;01 48 57 50 63;ce.0930130L@ac-creteil.fr;http://www.condorcet93.fr;48.85750093339525;2.445528654993236;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0771997C;Lycée professionnel Jacques Prévert;7 avenue Jean Jaurès;BP 115;;77385;Combs-la-Ville;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1636;Lycée;Public;LYCEE PROFESSIONNEL;01 64 13 42 60;ce.0771997c@ac-creteil.fr;http://www.lyceemetierscombs.net;48.65522404672208;2.564065406447481;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0951727L;Lycée Charles Baudelaire;13 rue du Grand Tremblay;BP 37;;95470;Fosses;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2082;Lycée;Public;LYCEE POLYVALENT;01 34 72 27 00;0951727L@ac-versailles.fr;http://www.lyc-baudelaire-fosses.ac-versailles.fr;49.10154103411719;2.5050055873114405;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0951727L;Lycée Charles Baudelaire;13 rue du Grand Tremblay;BP 37;;95470;Fosses;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2082;Lycée;Public;LYCEE POLYVALENT;01 34 72 27 00;0951727L@ac-versailles.fr;http://www.lyc-baudelaire-fosses.ac-versailles.fr;49.10154103411719;2.5050055873114405;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0930960N;Lycée professionnel privé ORT Daniel Mayer;39-45 rue Raspail;;;93100;Montreuil;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10004;Lycée;Privé;LYCEE PROFESSIONNEL;01 49 88 46 50;ce.0930960n@ac-creteil.fr;https://ort-france.fr/montreuil;48.85283000352504;2.4250052027638027;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0940578T;Section d'enseignement professionnel du lycée Louis Armand;173 boulevard de Strasbourg;;;94130;Nogent-sur-Marne;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10677;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 45 14 28 28;ce0940118T@ac-creteil.fr;http://www.larmand.fr;48.8467161140249;2.4913060633969635;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0912364A;Lycée Nikola Tesla;15-21 Chemin du Champ de Courses;;;91410;Dourdan;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15329;Lycée;Public;LYCEE POLYVALENT;01 64 59 39 00;0912364A@ac-versailles.fr;http://www.lyc-tesla-dourdan.ac-versailles.fr;48.53430077972147;1.9901027277715995;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0921592F;Lycée professionnel Les Côtes de Villebon;3 rue Henri Etlin;;;92360;Meudon;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8185;Lycée;Public;LYCEE POLYVALENT;01 46 01 55 00;0921592f@ac-versailles.fr;http://www.lyc-cotesdevillebon-meudon.ac-versailles.fr;48.7947301776672;2.2213265281765295;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0931613Y;Lycée Louise Michel;70 avenue Jean Jaurès;;;93000;Bobigny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.873;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 48 10 22 44;ce.0931613y@ac-creteil.fr;http://louisemichelbobigny.fr/;48.902080737124066;2.440758244161289;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
